id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
40438,"Công văn số 4652/BHXH-CSYT Thanh toán chi phí VTYTTH, VTYTTT theo chế độ KCB BHYT",4652/BHXH-CSYT,31/12/2008,Công văn,31/12/2008,,,,Bảo Hiểm,Chưa phân loại,Bảo hiểm Xã hội Việt Nam,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
153631,Nghị định số 98/2021/NĐ-CP Về quản lý trang thiết bị y tế,98/2021/NĐ-CP,08/11/2021,Nghị định,01/01/2022,,,,Y tế,Trang thiết bị y tế,Chính phủ,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
137205,"Thông tư số 43/2018/TT-BYT Hướng dẫn phòng ngừa sự cố y khoa trong các cơ sở khám bệnh, chữa bệnh",43/2018/TT-BYT,26/12/2018,Thông tư,01/03/2019,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
10842,Quyết định số 1008/BYT-QĐ Ban hành danh mục mã số và mẫu thẻ bảo hiểm y tế,1008/BYT-QĐ,29/09/1992,Quyết định,29/09/1992,,Kỷ yếu 1992 của Bộ Y tế;,,,Chưa phân loại,Bộ Y tế,Bộ trưởng,Phạm Song,Trung ương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
111705,"Chỉ thị số 05/2011/CT-UBND Công tác bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế năm 2011 và những năm tiếp theo.",05/2011/CT-UBND,09/05/2011,Chỉ thị,19/05/2011,,,,Bảo Hiểm,Chưa phân loại,UBND Tỉnh An Giang,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
173782,"Nghị quyết số 45/2024/NQ-HĐND Quy định giá cụ thể dịch vụ khám bệnh, chữa bệnh tại các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc thành phố Hà Nội quản lý",45/2024/NQ-HĐND,10/12/2024,Nghị quyết,20/12/2024,,,,Y tế,Chưa phân loại,HĐND Thành phố Hà Nội,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
173811,"Nghị quyết số 120/2024/NQ-HĐND Quy định giá cụ thể dịch vụ khám bệnh, chữa bệnh tại cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Cao Bằng",120/2024/NQ-HĐND,11/12/2024,Nghị quyết,11/12/2024,,,,Y tế,Chưa phân loại,HĐND Tỉnh Cao Bằng,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
147192,Thông tư số 18/2020/TT-BYT Quy định về hoạt động dinh dưỡng trong bệnh viện,18/2020/TT-BYT,12/11/2020,Thông tư,01/01/2021,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
167907,"Thông tư 32/2023/TT-BYT hướng dẫn Luật Khám bệnh, chữa bệnh do Bộ trưởng Bộ Y tế ban hành",32/2023/TT-BYT,31/12/2023,Thông tư,01/01/2024,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
60160,"Nghị quyết số 22/2012/NQ-HĐND Về việc thông qua Quy hoạch phát triển hệ thống y tế và mạng lưới khám, chữa bệnh tỉnh Quảng Ngãi đến năm 2020",22/2012/NQ-HĐND,05/10/2012,Nghị quyết,15/10/2012,,,,Y tế,Khám chữa bệnh,HĐND Tỉnh Quảng Ngãi,,,,,Còn hiệu lực,,2026-08-18,Còn hiệu lực
171715,Thông tư 13/2024/TT-BYT về Danh mục dược liệu độc làm thuốc do Bộ trưởng Bộ Y tế ban hành,13/2024/TT-BYT,26/08/2024,Thông tư,10/10/2024,,,,Y tế,Quản lý dược,Bộ Y tế,,,,,Còn hiệu lực,,2026-08-18,Còn hiệu lực
