id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
153631,Nghị định số 98/2021/NĐ-CP Về quản lý trang thiết bị y tế,98/2021/NĐ-CP,08/11/2021,Nghị định,01/01/2022,,,,Y tế,Trang thiết bị y tế,Chính phủ,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
137205,"Thông tư số 43/2018/TT-BYT Hướng dẫn phòng ngừa sự cố y khoa trong các cơ sở khám bệnh, chữa bệnh",43/2018/TT-BYT,26/12/2018,Thông tư,01/03/2019,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
75401,Thông tư liên tịch số 49-TTLB/CB Về chế độ thu viện phí,49-TTLB/CB,14/11/1957,Thông tư liên tịch,01/01/1958,,,,Tài chính,"Quản lý thuế, phí và lệ phí","Bộ Tài chính, Bộ Y tế",,,,,Còn hiệu lực,vien_phi,2026-08-18,Còn hiệu lực
173782,"Nghị quyết số 45/2024/NQ-HĐND Quy định giá cụ thể dịch vụ khám bệnh, chữa bệnh tại các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc thành phố Hà Nội quản lý",45/2024/NQ-HĐND,10/12/2024,Nghị quyết,20/12/2024,,,,Y tế,Chưa phân loại,HĐND Thành phố Hà Nội,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
173811,"Nghị quyết số 120/2024/NQ-HĐND Quy định giá cụ thể dịch vụ khám bệnh, chữa bệnh tại cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Cao Bằng",120/2024/NQ-HĐND,11/12/2024,Nghị quyết,11/12/2024,,,,Y tế,Chưa phân loại,HĐND Tỉnh Cao Bằng,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
147192,Thông tư số 18/2020/TT-BYT Quy định về hoạt động dinh dưỡng trong bệnh viện,18/2020/TT-BYT,12/11/2020,Thông tư,01/01/2021,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
167907,"Thông tư 32/2023/TT-BYT hướng dẫn Luật Khám bệnh, chữa bệnh do Bộ trưởng Bộ Y tế ban hành",32/2023/TT-BYT,31/12/2023,Thông tư,01/01/2024,,,,Y tế,"Quản lý Khám, chữa bệnh",Bộ Y tế,,,,,Hết hiệu lực một phần,,2026-08-18,Hết hiệu lực một phần
60160,"Nghị quyết số 22/2012/NQ-HĐND Về việc thông qua Quy hoạch phát triển hệ thống y tế và mạng lưới khám, chữa bệnh tỉnh Quảng Ngãi đến năm 2020",22/2012/NQ-HĐND,05/10/2012,Nghị quyết,15/10/2012,,,,Y tế,Khám chữa bệnh,HĐND Tỉnh Quảng Ngãi,,,,,Còn hiệu lực,,2026-08-18,Còn hiệu lực
171715,Thông tư 13/2024/TT-BYT về Danh mục dược liệu độc làm thuốc do Bộ trưởng Bộ Y tế ban hành,13/2024/TT-BYT,26/08/2024,Thông tư,10/10/2024,,,,Y tế,Quản lý dược,Bộ Y tế,,,,,Còn hiệu lực,,2026-08-18,Còn hiệu lực
179149,Nghị định số 159/2025/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội tự nguyện,159/2025/NĐ-CP,25/06/2025,Nghị định,01/07/2025,,,,Nội vụ,Bảo hiểm xã hội,Chính phủ,,,,,Còn hiệu lực,,2026-08-18,Còn hiệu lực
