agent_category,doc_id,other_doc_id,relationship,source_is_selected,target_is_selected,relationship_is_adverse,source_title,target_title
,,,BI_SUA_DOI,True,True,False,,"Thông tư số 33/2023/TT-BTC Quy định về xác định xuất xứ hàng hóa xuất khẩu, nhập khẩu"
,,,CAN_CU,True,True,False,,LUẬT HẢI QUAN SỐ 54/2014/QH13
,,,CAN_CU,True,True,False,,"Luật Thuế xuất khẩu, thuế nhập khẩu số 107/2016/QH13"
,,,CAN_CU,True,True,False,,Nghị định số 243/2025/NĐ-CP Quy định chi tiết một số điều của Luật Đầu tư theo phương thức đối tác công tư
,,,CAN_CU,True,True,False,,"Nghị định số 359/2025/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 181/2025/NĐ-CP ngày 01 tháng 7 năm 2025 của Chính phủ quy định chi tiết thi hành một số điều của Luật Thuế giá trị gia tăng"
,,,CAN_CU,True,True,False,,"Thông tư số 04/2007/TT-BTM Hướng dẫn hoạt động xuất khẩu, nhập khẩu, gia công, thanh lý hàng nhập khẩu và tiêu thụ sản phẩm của doanh nghiệp có vốn đầu tư nước ngoài quy định tại Nghị định số 108/2006/NĐ-CP ngày 22/09/2006 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Đầu tư"
,,,CAN_CU,True,True,False,,Luật quản lý ngoại thương số 05/2017/QH14
,,,CAN_CU,True,True,False,,"Nghị định số 08/2015/NĐ-CP Quy định chi tiết và biện pháp thi hành Luật Hải quan về thủ tục hải quan, kiểm tra, giám sát, kiểm soát hải quan"
,,,CAN_CU,True,True,False,,Nghị định số 31/2018/NĐ-CP quy định chi tiết Luật Quản lý ngoại thương về xuất xứ hàng hóa
,,,CAN_CU,True,True,False,,Nghị định số 86/2025/NĐ-CP Quy định chi tiết một số điều của Luật Quản lý ngoại thương về các biện pháp phòng vệ thương mại
,,,CAN_CU,True,True,False,,"Nghị định số 37/2026/NĐ-CP Quy định chi tiết một số điều và biện pháp để tổ chức, hướng dẫn thi hành Luật Chất lượng sản phẩm, hàng hóa"
,,snapshot-c94d7b75195a67fa:179382,CAN_CU,True,True,False,,"Luật Sửa đổi, bổ sung một số điều của Luật Đấu thầu, Luật Đầu tư theo phương thức đối tác công tư, Luật Hải quan, Luật Thuế giá trị gia tăng, Luật Thuế xuất khẩu, thuế nhập khẩu, Luật Đầu tư, Luật Đầu tư công, Luật Quản lý, sử dụng tài sản công số 90/2025/QH15"
,,snapshot-c94d7b75195a67fa:175462,CAN_CU,True,True,False,,"Nghị định số 29/2025/NĐ-CP Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính"
,,snapshot-c439751724ab7f10:179382,CAN_CU,True,True,False,,"Luật Sửa đổi, bổ sung một số điều của Luật Đấu thầu, Luật Đầu tư theo phương thức đối tác công tư, Luật Hải quan, Luật Thuế giá trị gia tăng, Luật Thuế xuất khẩu, thuế nhập khẩu, Luật Đầu tư, Luật Đầu tư công, Luật Quản lý, sử dụng tài sản công số 90/2025/QH15"
,,snapshot-c439751724ab7f10:175462,CAN_CU,True,True,False,,"Nghị định số 29/2025/NĐ-CP Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính"
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:136584,REL_Thay_the,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,Nghị quyết số 18/2019/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Kon Tum
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:139464,REL_Thay_the,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,Nghị quyết số 27/2019/NQ-HĐND về hỗ trợ tiền đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:168516,REL_Thay_the,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,"Nghị quyết số 31/2024/NQ-HĐND Sửa đổi, bổ sung một số điều và bãi bỏ một phần của Nghị quyết số 18/2019/NQ-HĐND ngày 18 tháng 7 năm 2019 của Hội đồng nhân dân tỉnh quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Kon Tum"
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:167934,REL_Bai_bo,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,"Nghị quyết số 15/2024/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 27/2019/NQ-HĐND ngày 11 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh về hỗ trợ tiền đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi"
